step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
1290,81,0.00027548340731300416,,,,,0.0033721592277142177
1300,82,0.0004159041418461129,1.0,0.11914420109824278,0.9738562091503268,0.9943201376936316,0.0032898992833716566
1300,82,0.0004159041418461129,,,,,0.0032898992833716566
1310,82,0.011320408519947835,,,,,0.003208160252273499
1320,83,0.00022191782773006707,,,,,0.00312696703292044
1330,84,0.00021310029842425138,,,,,0.003046344357553632
1340,84,0.00024859041028927703,,,,,0.0029663167846209993
1350,85,0.00040373854426434264,1.0,0.12255506018409505,0.9738562091503268,0.9946643717728055,0.0028869086912965036
1350,85,0.00040373854426434264,,,,,0.0028869086912965036
1360,85,0.00043515648940228857,,,,,0.0028081442660546126
1370,86,0.00024449718912364913,,,,,0.0027300475013022664
1380,87,0.00042617930012056604,,,,,0.0026526421860705476
1390,87,0.0002803827155730687,,,,,0.002575951898768315
1400,88,0.0005342625736375339,1.0,0.12084144656546414,0.9738562091503268,0.9946643717728054,0.0025000000000000014
1400,88,0.0005342625736375339,,,,,0.0025000000000000014
1410,89,0.0002159138530259952,,,,,0.002424809625449729
1420,89,0.0006861108959128615,,,,,0.002350403678833976
1430,90,0.0002674061155024295,,,,,0.0022768048249248644
1440,90,0.00028229383315192536,,,,,0.0022040354826462667
1450,91,0.00025420723541174083,1.0,0.12130535558681003,0.9738562091503268,0.9946643717728054,0.0021321178182447708
1450,91,0.00025420723541174083,,,,,0.0021321178182447708
1460,92,0.0003195852041244507,,,,,0.0020610737385376348
1470,92,0.0006442531791565541,,,,,0.001990924884239758
1480,93,0.00021163522796996403,,,,,0.0019216926233717087
1490,94,0.00024362438125535846,,,,,0.0018533980447508135
1500,94,0.0003230977017665282,1.0,0.11829558652825653,0.9738562091503268,0.9944922547332185,0.0017860619515673033
1500,94,0.0003230977017665282,,,,,0.0017860619515673033
1510,95,0.00028983754115567234,,,,,0.001719704855047464
1520,95,0.0039924591801536735,,,,,0.0016543469682057106
1530,96,0.0004474248256883584,,,,,0.0015900081996875082
1540,97,0.0003970594370912295,,,,,0.0015267081477050133
1550,97,0.00035291466442036575,1.0,0.1216506356955506,0.9738562091503268,0.9948364888123924,0.0014644660940672626
1550,97,0.00035291466442036575,,,,,0.0014644660940672626
1560,98,0.00027438582947070245,,,,,0.0014033009983067451
1570,99,0.00023294075072044507,,,,,0.0013432314919041477
1580,99,0.00040661402090336196,,,,,0.0012842758726130281
1590,100,0.00025998672208515927,,,,,0.00122645209888614
1600,100,0.00022403153070627013,1.0,0.12129437616677023,0.9738562091503268,0.9946643717728054,0.0011697777844051104
1600,100,0.00022403153070627013,,,,,0.0011697777844051104
1610,101,0.0003033668894204311,,,,,0.0011142701927151456
1620,102,0.00028593810930033214,,,,,0.0010599462319663905
1630,102,0.00026935776362993887,,,,,0.001006822449763537
1640,103,0.0002891058538807556,,,,,0.0009549150281252633
1650,104,0.0002929119291366078,1.0,0.12024729904369451,0.9738562091503268,0.9948364888123924,0.0009042397785550405
1650,104,0.0002929119291366078,,,,,0.0009042397785550405
1660,104,0.00029547089434345253,,,,,0.0008548121372247919
1670,105,0.00021057961809371287,,,,,0.0008066471602728803
1680,105,0.00028126086817792384,,,,,0.0007597595192178702
1690,106,0.00045024938153801484,,,,,0.0007141634964894389
1700,107,0.00027735476396628655,1.0,0.12047070962726139,0.9738562091503268,0.9948364888123923,0.0006698729810778065
1700,107,0.00027735476396628655,,,,,0.0006698729810778065
1710,107,0.0009284614705913034,,,,,0.0006269014643030213
1720,108,0.0005787508926005103,,,,,0.0005852620357053651
1730,109,0.0007855342119000852,,,,,0.0005449673790581611
1740,109,0.0004378540118826398,,,,,0.000506029768504166
1750,110,0.0003478197322692722,1.0,0.12027010851888917,0.9738562091503268,0.9948364888123924,0.0004684610648167503
1750,110,0.0003478197322692722,,,,,0.0004684610648167503
1760,110,0.00042688872053986415,,,,,0.0004322727117869951
1770,111,0.0011113486485555767,,,,,0.0003974757327377981
1780,112,0.0007053973386064172,,,,,0.00036408072716606344
1790,112,0.00038045531774904314,,,,,0.00033209786751399185
1800,113,0.00047816927144594956,1.0,0.11979454032843932,0.9738562091503268,0.9948364888123924,0.00030153689607045843
1800,113,0.00047816927144594956,,,,,0.00030153689607045843
1810,114,0.0002625862762215547,,,,,0.0002724071220034158
1820,114,0.00029965956006587174,,,,,0.00024471741852423234
1830,115,0.000677310529378398,,,,,0.00021847622018482282
1840,115,0.0006239077938516857,,,,,0.00019369152030840553
1850,116,0.00023706721840426325,1.0,0.11980473026633262,0.9738562091503268,0.9948364888123924,0.000170370868554659
1850,116,0.00023706721840426325,,,,,0.000170370868554659
1860,117,0.00019831522513413802,,,,,0.00014852136862001763
1870,117,0.00024070087653983916,,,,,0.00012814967607382432
1880,118,0.00027687295005307533,,,,,0.00010926199633097155
1890,119,0.0002096455209539272,,,,,9.186408276168012e-05
1900,119,0.0004328693333566965,1.0,0.11982522298349067,0.9738562091503268,0.9948364888123924,7.59612349389599e-05
1900,119,0.0004328693333566965,,,,,7.59612349389599e-05
1910,120,0.00021176941421193382,,,,,6.15582970243117e-05
1920,120,0.00026739238637674134,,,,,4.865965629214819e-05
1930,121,0.0006433879185351543,,,,,3.7269241793390084e-05
1940,122,0.00021607188318739645,,,,,2.739052315863355e-05
1950,122,0.00027410717094816003,1.0,0.11983200282556936,0.9738562091503268,0.9948364888123924,1.9026509541272274e-05
1950,122,0.00027410717094816003,,,,,1.9026509541272274e-05
1960,123,0.0002461563162796665,,,,,1.2179748700879012e-05
1970,124,0.00031451637914869934,,,,,6.852326227130834e-06
1980,124,0.0003168602828130436,,,,,3.0458649045211896e-06
1990,125,0.00022707162618947527,,,,,7.615242180436522e-07
2000,125,0.00033792857993830694,1.0,0.11983279346604832,0.9738562091503268,0.9948364888123924,0.0
2000,125,0.00033792857993830694,,,,,0.0
