step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
10,1,0.6911045014858246,,,,,0.0005
20,2,0.6525756865739822,,,,,0.001
30,2,0.6223169905798775,,,,,0.0015
40,3,0.5100480020046234,,,,,0.002
50,4,0.3663835674524307,0.96875,0.38095307946205137,0.9738562091503268,0.9969018932874354,0.0025
50,4,0.3663835674524307,,,,,0.0025
60,4,0.3332264373699824,,,,,0.003
70,5,0.19732568164666495,,,,,0.0034999999999999996
80,5,0.17845879262313247,,,,,0.004
90,6,0.12888000681996345,,,,,0.0045000000000000005
100,7,0.07179637812077999,1.0,0.0968820333480835,0.9803921568627451,0.9981067125645439,0.005
100,7,0.07179637812077999,,,,,0.005
110,7,0.06296839392078775,,,,,0.0055000000000000005
120,8,0.03332595061510801,,,,,0.006
130,9,0.03517096443101764,,,,,0.006500000000000001
140,9,0.033087754932542644,,,,,0.006999999999999999
150,10,0.028603612134854,0.9895833333333334,0.070737274736166,0.9803921568627451,0.9970740103270224,0.0075
150,10,0.028603612134854,,,,,0.0075
160,10,0.02378598556970246,,,,,0.008
170,11,0.02854220517911017,,,,,0.0085
180,12,0.023032663099002093,,,,,0.009000000000000001
190,12,0.017727622263399617,,,,,0.0095
200,13,0.04272136921645142,0.9921875,0.07263473756611347,0.9803921568627451,0.9963855421686747,0.01
200,13,0.04272136921645142,,,,,0.01
210,14,0.002592707402072847,,,,,0.009999238475781956
220,14,0.013300416389635453,,,,,0.009996954135095479
230,15,0.0030766824493184686,,,,,0.009993147673772868
240,15,0.00791838774603093,,,,,0.009987820251299122
250,16,0.015551849803887307,0.99375,0.07603469677269459,0.9803921568627451,0.9943201376936317,0.009980973490458728
250,16,0.015551849803887307,,,,,0.009980973490458728
260,17,0.0019447243539616466,,,,,0.009972609476841367
270,17,0.004584808833897114,,,,,0.00996273075820661
280,18,0.0046729244641028345,,,,,0.009951340343707852
290,19,0.007420567446388304,,,,,0.009938441702975689
300,19,0.003365301643498242,1.0,0.09261040557175874,0.9869281045751634,0.9946643717728055,0.00992403876506104
300,19,0.003365301643498242,,,,,0.00992403876506104
310,20,0.0040733146597631276,,,,,0.00990813591723832
320,20,0.006123727485828567,,,,,0.009890738003669028
330,21,0.0037949493445921688,,,,,0.009871850323926177
340,22,0.005203368345974013,,,,,0.009851478631379982
350,22,0.003608997832218717,1.0,0.09535632915794849,0.9803921568627451,0.9960413080895009,0.009829629131445342
350,22,0.003608997832218717,,,,,0.009829629131445342
360,23,0.0049585422821110114,,,,,0.009806308479691595
370,24,0.0029396591999102384,,,,,0.009781523779815178
380,24,0.0024181433788423115,,,,,0.009755282581475769
390,25,0.04199362243525684,,,,,0.009727592877996585
400,25,0.01767218733584741,0.9959016393442623,0.0861495416611433,0.9869281045751634,0.9969018932874355,0.009698463103929543
400,25,0.01767218733584741,,,,,0.009698463103929543
410,26,0.010419044218724593,,,,,0.009667902132486009
420,27,0.03352549129340332,,,,,0.009635919272833937
430,27,0.010313173361022823,,,,,0.009602524267262203
440,28,0.001713953992293682,,,,,0.009567727288213004
450,29,0.002001733722863719,1.0,0.08911758363246917,0.9869281045751634,0.9974182444061962,0.009531538935183251
450,29,0.002001733722863719,,,,,0.009531538935183251
460,29,0.0012817034585168585,,,,,0.009493970231495836
470,30,0.0006719671073369682,,,,,0.00945503262094184
480,30,0.001786484883268713,,,,,0.009414737964294635
490,31,0.0010977558384183794,,,,,0.00937309853569698
500,32,0.0007871753332437947,1.0,0.10584643016336485,0.9803921568627451,0.9974182444061962,0.009330127018922194
500,32,0.0007871753332437947,,,,,0.009330127018922194
