step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
10,1,0.6852437674999237,,,,,0.0005
20,2,0.5564428716897964,,,,,0.001
30,2,0.47008959310395376,,,,,0.0015
40,3,0.2433791570365429,,,,,0.002
50,4,0.16000444442033768,0.9375,0.12482516765594483,0.9607843137254902,0.9943201376936317,0.0025
50,4,0.16000444442033768,,,,,0.0025
60,4,0.1310954730336865,,,,,0.003
70,5,0.09940633860727151,,,,,0.0034999999999999996
80,5,0.1172117677051574,,,,,0.004
90,6,0.08328793291002512,,,,,0.0045000000000000005
100,7,0.1308248471468687,0.9375,0.09818692952394485,0.9738562091503268,0.9938037865748709,0.005
100,7,0.1308248471468687,,,,,0.005
110,7,0.058009835242825956,,,,,0.0055000000000000005
120,8,0.05835975010995753,,,,,0.006
130,9,0.022798891179263592,,,,,0.006500000000000001
140,9,0.03966286850239461,,,,,0.006999999999999999
150,10,0.022881707836252946,0.9895833333333334,0.10814450271427631,0.9738562091503268,0.9948364888123924,0.0075
150,10,0.022881707836252946,,,,,0.0075
160,10,0.03275150788067549,,,,,0.008
170,11,0.051425306921009904,,,,,0.0085
180,12,0.07970296556595713,,,,,0.009000000000000001
190,12,0.03401324353762902,,,,,0.0095
200,13,0.015318411402404308,1.0,0.1253276702016592,0.9738562091503268,0.9950086058519794,0.01
200,13,0.015318411402404308,,,,,0.01
210,14,0.0010454891598783433,,,,,0.009999238475781956
220,14,0.019511634277781315,,,,,0.009996954135095479
230,15,0.009228985640220344,,,,,0.009993147673772868
240,15,0.009623022960113303,,,,,0.009987820251299122
250,16,0.008523915900150314,1.0,0.1256354631856084,0.9738562091503268,0.9955249569707402,0.009980973490458728
250,16,0.008523915900150314,,,,,0.009980973490458728
260,17,0.0003042471180378925,,,,,0.009972609476841367
270,17,0.006318207235640979,,,,,0.00996273075820661
280,18,0.0012298386172915343,,,,,0.009951340343707852
290,19,0.0018680656212382019,,,,,0.009938441702975689
300,19,0.0012811282043306467,1.0,0.15510862246155738,0.9738562091503268,0.9944922547332186,0.00992403876506104
300,19,0.0012811282043306467,,,,,0.00992403876506104
310,20,0.0013205564403809451,,,,,0.00990813591723832
320,20,0.006910364858526918,,,,,0.009890738003669028
330,21,0.0017435827081499155,,,,,0.009871850323926177
340,22,0.0006277825546021631,,,,,0.009851478631379982
350,22,0.0016103203869144117,1.0,0.17187900701537728,0.9738562091503268,0.9927710843373494,0.009829629131445342
350,22,0.0016103203869144117,,,,,0.009829629131445342
360,23,0.0029686917887374875,,,,,0.009806308479691595
370,24,0.0011201271991012618,,,,,0.009781523779815178
380,24,0.0035615464967122534,,,,,0.009755282581475769
390,25,0.048611891975572995,,,,,0.009727592877996585
400,25,0.0193355145422629,0.9918032786885246,0.179616928845644,0.9673202614379085,0.9944922547332187,0.009698463103929543
400,25,0.0193355145422629,,,,,0.009698463103929543
410,26,0.036739324986047,,,,,0.009667902132486009
420,27,0.0037812609734828584,,,,,0.009635919272833937
430,27,0.006001066916204374,,,,,0.009602524267262203
440,28,0.002583927647492601,,,,,0.009567727288213004
450,29,8.408084249822423e-05,1.0,0.18668555580079554,0.9673202614379085,0.9938037865748709,0.009531538935183251
