step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
600,38,4.1599792837132554e-05,1.0,0.06731782549759373,0.9803921568627451,0.9987951807228916,0.00883022221559489
600,38,4.1599792837132554e-05,,,,,0.00883022221559489
610,39,2.9584415642602835e-05,,,,,0.00877354790111386
620,39,4.2769955598487286e-05,,,,,0.008715724127386972
630,40,8.099860163686874e-05,,,,,0.008656768508095852
640,40,5.9788874807509274e-05,,,,,0.008596699001693256
650,41,0.0018123785733678232,1.0,0.07545018969103694,0.9803921568627451,0.9986230636833047,0.008535533905932738
650,41,0.0018123785733678232,,,,,0.008535533905932738
660,42,0.020339329859780264,,,,,0.008473291852294987
670,42,0.005875368207528352,,,,,0.008409991800312494
680,43,6.734310034062219e-05,,,,,0.008345653031794291
690,44,3.1420023333339486e-05,,,,,0.008280295144952536
700,44,3.7024825436067964e-05,1.0,0.08048541010575719,0.9803921568627451,0.9984509466437177,0.008213938048432696
700,44,3.7024825436067964e-05,,,,,0.008213938048432696
710,45,6.654701246588957e-05,,,,,0.008146601955249187
720,45,4.344366107034148e-05,,,,,0.008078307376628291
730,46,0.0002899255467582407,,,,,0.008009075115760243
740,47,6.140306686575059e-05,,,,,0.007938926261462366
750,47,4.991153088797416e-05,1.0,0.08256205032230354,0.9738562091503268,0.9984509466437177,0.00786788218175523
750,47,4.991153088797416e-05,,,,,0.00786788218175523
760,48,0.00015883456512710836,,,,,0.007795964517353734
770,49,0.00015545270980510395,,,,,0.007723195175075136
780,49,4.264931218737426e-05,,,,,0.007649596321166025
790,50,0.0001329262936451414,,,,,0.007575190374550272
800,50,9.167682449628956e-05,1.0,0.0831697488494683,0.9803921568627451,0.9986230636833047,0.0075
800,50,9.167682449628956e-05,,,,,0.0075
810,51,0.00011167770326210302,,,,,0.007424048101231686
820,52,1.7640520809436566e-05,,,,,0.007347357813929454
830,52,0.00012716756532427098,,,,,0.007269952498697734
840,53,1.6769012063377886e-05,,,,,0.007191855733945388
850,54,1.2318891094764695e-05,1.0,0.08373814593360293,0.9803921568627451,0.9984509466437177,0.007113091308703498
850,54,1.2318891094764695e-05,,,,,0.007113091308703498
860,54,3.828343134652338e-05,,,,,0.007033683215379002
870,55,4.8068324455622737e-05,,,,,0.006953655642446368
880,55,3.74608805771004e-05,,,,,0.006873032967079561
