step,epoch,train_loss,train_acc,val_loss,val_acc,val_auc,learning_rate
10,1,0.6828146815299988,,,,,0.0005
20,2,0.5156719163060188,,,,,0.001
30,2,0.41156900567667826,,,,,0.0015
40,3,0.17402838915586472,,,,,0.002
50,4,0.06849977374076843,1.0,0.08174523338675499,0.9803921568627451,0.9996557659208262,0.0025
50,4,0.06849977374076843,,,,,0.0025
60,4,0.08594431076198816,,,,,0.003
70,5,0.043071845856805645,,,,,0.0034999999999999996
80,5,0.05682746859383769,,,,,0.004
90,6,0.023390993173234165,,,,,0.0045000000000000005
100,7,0.014564076787792146,1.0,0.05103888381272555,0.9738562091503268,0.9987951807228915,0.005
100,7,0.014564076787792146,,,,,0.005
110,7,0.02565612495943372,,,,,0.0055000000000000005
120,8,0.04751406821742421,,,,,0.006
130,9,0.0012682373053394258,,,,,0.006500000000000001
140,9,0.009046849134999016,,,,,0.006999999999999999
150,10,0.005481511606679608,1.0,0.08218009299598635,0.9738562091503268,0.9986230636833047,0.0075
150,10,0.005481511606679608,,,,,0.0075
160,10,0.004991317255189642,,,,,0.008
170,11,0.001183565660903696,,,,,0.0085
180,12,0.006403389212209731,,,,,0.009000000000000001
190,12,0.008036500362712624,,,,,0.0095
200,13,0.00038633577605651226,1.0,0.06783526639919728,0.9869281045751634,0.9982788296041307,0.01
200,13,0.00038633577605651226,,,,,0.01
210,14,0.0001945608455571346,,,,,0.009999238475781956
220,14,0.006319327738310676,,,,,0.009996954135095479
230,15,0.0014970320044085383,,,,,0.009993147673772868
240,15,0.0009525416442102141,,,,,0.009987820251299122
250,16,0.0005755282818427077,1.0,0.09557507869321853,0.9803921568627451,0.997934595524957,0.009980973490458728
250,16,0.0005755282818427077,,,,,0.009980973490458728
260,17,0.0003083822812186554,,,,,0.009972609476841367
270,17,0.0004147581157667446,,,,,0.00996273075820661
280,18,0.0009591752700544021,,,,,0.009951340343707852
290,19,6.570679579454008e-05,,,,,0.009938441702975689
300,19,0.0006852344258732046,1.0,0.10639329106197692,0.9803921568627451,0.9975903614457831,0.00992403876506104
300,19,0.0006852344258732046,,,,,0.00992403876506104
310,20,0.01919131320452531,,,,,0.00990813591723832
320,20,0.007354944548751519,,,,,0.009890738003669028
330,21,0.00029967674672661817,,,,,0.009871850323926177
340,22,6.204247983987443e-05,,,,,0.009851478631379982
350,22,0.0002490190437518842,1.0,0.08391666812822222,0.9869281045751634,0.9982788296041308,0.009829629131445342
350,22,0.0002490190437518842,,,,,0.009829629131445342
360,23,0.0007496344746868999,,,,,0.009806308479691595
370,24,0.0001473676493333187,,,,,0.009781523779815178
380,24,0.0004000116349137291,,,,,0.009755282581475769
390,25,0.00010812635809998028,,,,,0.009727592877996585
400,25,0.0002538584334388361,1.0,0.07685970216989517,0.9869281045751634,0.9982788296041308,0.009698463103929543
400,25,0.0002538584334388361,,,,,0.009698463103929543
410,26,0.0003087467908699182,,,,,0.009667902132486009
420,27,0.00027851283834934293,,,,,0.009635919272833937
430,27,0.0045065918155030105,,,,,0.009602524267262203
440,28,5.1782261152766296e-05,,,,,0.009567727288213004
450,29,2.0357933863124344e-05,1.0,0.08322845567017793,0.9869281045751634,0.9986230636833047,0.009531538935183251
450,29,2.0357933863124344e-05,,,,,0.009531538935183251
460,29,7.758089759590803e-05,,,,,0.009493970231495836
470,30,3.7423126438322164e-05,,,,,0.00945503262094184
480,30,0.00010146941184530078,,,,,0.009414737964294635
490,31,0.00011750005860449164,,,,,0.00937309853569698
500,32,6.369573929987382e-05,1.0,0.09370297715067863,0.9869281045751634,0.9986230636833047,0.009330127018922194
500,32,6.369573929987382e-05,,,,,0.009330127018922194
510,32,0.00016242122904129377,,,,,0.009285836503510562
520,33,3.8829297750453406e-05,,,,,0.00924024048078213
530,34,1.0169927918468602e-05,,,,,0.009193352839727121
540,34,4.779524696611285e-05,,,,,0.009145187862775208
550,35,4.753459506900981e-05,1.0,0.12186619291314855,0.9869281045751634,0.997934595524957,0.00909576022144496
550,35,4.753459506900981e-05,,,,,0.00909576022144496
560,35,9.465261848617956e-05,,,,,0.009045084971874737
570,36,9.827303920246777e-05,,,,,0.008993177550236464
580,37,7.165870158587495e-05,,,,,0.008940053768033609
590,37,5.9402360128452915e-05,,,,,0.008885729807284855
600,38,2.9041569291621272e-05,1.0,0.10383770884945989,0.9869281045751634,0.9982788296041307,0.00883022221559489
600,38,2.9041569291621272e-05,,,,,0.00883022221559489
610,39,2.030223186011426e-05,,,,,0.00877354790111386
620,39,0.00027797736800039274,,,,,0.008715724127386972
630,40,4.715109480457613e-05,,,,,0.008656768508095852
640,40,0.005339978166617243,,,,,0.008596699001693256
650,41,5.05748801970185e-05,1.0,0.09535100548528135,0.9869281045751634,0.998106712564544,0.008535533905932738
650,41,5.05748801970185e-05,,,,,0.008535533905932738
660,42,3.341834189996007e-05,,,,,0.008473291852294987
670,42,4.460198494728372e-05,,,,,0.008409991800312494
680,43,0.00011945255369028018,,,,,0.008345653031794291
690,44,2.807994678732939e-05,,,,,0.008280295144952536
700,44,2.8937658044014825e-05,1.0,0.09440665955189616,0.9869281045751634,0.9982788296041308,0.008213938048432696
700,44,2.8937658044014825e-05,,,,,0.008213938048432696
710,45,3.272714260068218e-05,,,,,0.008146601955249187
720,45,2.8455294426521505e-05,,,,,0.008078307376628291
730,46,9.27708038034325e-05,,,,,0.008009075115760243
740,47,5.7141927754855715e-05,,,,,0.007938926261462366
750,47,5.009088395776676e-05,1.0,0.09583544670604169,0.9869281045751634,0.998106712564544,0.00786788218175523
750,47,5.009088395776676e-05,,,,,0.00786788218175523
760,48,5.3803249102202244e-05,,,,,0.007795964517353734
770,49,0.00016654877617838793,,,,,0.007723195175075136
780,49,5.631374104571781e-05,,,,,0.007649596321166025
790,50,0.0002250297463130361,,,,,0.007575190374550272
800,50,0.00013354868838177936,1.0,0.1019944239873439,0.9869281045751634,0.998106712564544,0.0075
800,50,0.00013354868838177936,,,,,0.0075
810,51,5.1389413511060414e-05,,,,,0.007424048101231686
820,52,1.960065742423467e-05,,,,,0.007347357813929454
830,52,3.191637831280657e-05,,,,,0.007269952498697734
840,53,0.0008685149139751047,,,,,0.007191855733945388
850,54,1.1287362440270954e-05,1.0,0.12448605684330687,0.9869281045751634,0.9981067125645439,0.007113091308703498
850,54,1.1287362440270954e-05,,,,,0.007113091308703498
860,54,3.654527381513617e-05,,,,,0.007033683215379002
870,55,0.00018909830926835033,,,,,0.006953655642446368
880,55,0.00034120031540396667,,,,,0.006873032967079561
890,56,2.088352825921902e-05,,,,,0.0067918397477265005
900,57,6.244795895327115e-05,1.0,0.10932560528162867,0.9869281045751634,0.9982788296041307,0.006710100716628344
900,57,6.244795895327115e-05,,,,,0.006710100716628344
910,57,3.869342640427931e-05,,,,,0.006627840772285783
920,58,0.001042631166569663,,,,,0.006545084971874737
930,59,1.7243811271328013e-05,,,,,0.006461858523613684
940,59,2.114902387499266e-05,,,,,0.006378186779084995
